1998  Mitsubishi Pajero Pinin (IO),"135000 կմ , Կուպե, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն","31.12.2025 Հայաստան, Մաքսազերծված"
$ 9 800,2015  Ford Focus,"201500 կմ , Սեդան, Բենզին, Ավտոմատ, Ձախ, Կապույտ, Սև","14.10.2025 Հայաստան, Մաքսազերծված"
$ 7 700,2008  Lexus IS 250,"166000 կմ , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","29.08.2025 Հայաստան, Մաքսազերծված"
$ 9 500,2021  BMW X5,"18534 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն","22.03.2025 ԱՄՆ, Աճուրդում"
$ 25 200,2020  Kia Sportage,"31471 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև","17.03.2025 ԱՄՆ, Աճուրդում"
$ 5 400,2018  Chevrolet Cruze,"66050 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն","15.03.2025 ԱՄՆ, Աճուրդում"
$ 2 000,2019  Subaru Legacy,"92841 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև","31.03.2025 ԱՄՆ, Աճուրդում"
$ 3 000,2022  Mercedes-Benz EQC,"4300 կմ , Ամենագնաց, Էլեկտրական, Ավտոմատ, 300, Ձախ, Մոխրագույն","12.03.2025 Գերմանիա, Մաքսազերծված չ"
€ 36 900,2024  Mercedes-Benz GLE 63 S Coupe,"5000 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Կանաչ"
€ 112 200,2020  Kia Forte,"70669 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև","18.02.2025 ԱՄՆ, Աճուրդում"
$ 2 900,2023  Mercedes-Benz EQC,"7374 կմ , Ամենագնաց, Էլեկտրական, Ավտոմատ, 300, Ձախ, Մոխրագույն","12.03.2025 Գերմանիա, Մաքսազերծված չ"
€ 47 000,2020  Ford Escape,"64408 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև","18.03.2025 ԱՄՆ, Աճուրդում"
$ 3 500,2019  Lexus RX 350,"75032 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","28.03.2025 ԱՄՆ, Աճուրդում"
$ 13 000,2025  Mercedes-Benz GLA 200,"9900 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև","11.03.2025 Գերմանիա, Մաքսազերծված չ"
€ 36 600,2019  Nissan Murano,"63679 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն","17.02.2025 ԱՄՆ, Աճուրդում"
$ 4 300,2019  Nissan Murano,"80169 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն","17.02.2025 ԱՄՆ, Աճուրդում"
$ 5 000,2019  Jeep Cherokee,"64146 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","27.03.2025 ԱՄՆ, Աճուրդում"
$ 4 000,2019  Jeep Cherokee,"62463 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","27.03.2025 ԱՄՆ, Աճուրդում"
$ 4 100,2019  Nissan Versa,"53739 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն","17.02.2025 ԱՄՆ, Աճուրդում"
$ 2 100,2019  Jeep Cherokee,"39328 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն","27.03.2025 ԱՄՆ, Աճուրդում"
$ 4 000,2021  BMW X5,"43913 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","22.03.2025 ԱՄՆ, Աճուրդում"
$ 25 000,2018  Nissan Rogue,"63468 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն","28.03.2025 ԱՄՆ, Աճուրդում"
$ 3 000,2021  Lexus ES 300h,"41160 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","22.03.2025 ԱՄՆ, Աճուրդում"
$ 15 000,2019  Subaru Impreza,"58764 մղոն , Հետչբեք, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն","23.02.2025 ԱՄՆ, Աճուրդում"
$ 2 500,2022  Toyota Camry,"40362 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն","14.03.2025 ԱՄՆ, Աճուրդում"
$ 12 600,2024  Lexus LX 600,"10 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև","24.03.2025 ԱՄԷ, Մաքսազերծված չ"
$ 123 900,2021  Hyundai Kona,"99000 մղոն , Ամենագնաց, Էլեկտրական, Ավտոմատ, 300, Ձախ, Սպիտակ","17.03.2025 ԱՄՆ, Աճուրդում"
$ 7 800,2020  Toyota Camry,"58411 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","14.03.2025 ԱՄՆ, Աճուրդում"
$ 9 000,2025  Rolls Royce Cullinan,"50 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև","22.03.2025 Գերմանիա, Մաքսազերծված չ"
€ 562 500,2025  BMW i5,"2990 կմ , Սեդան, Էլեկտրական, Ավտոմատ, 250, Ձախ, Մոխրագույն","25.02.2025 Գերմանիա, Մաքսազերծված չ"
€ 57 700,2024  Mercedes-Benz GLE 53 AMG Coupe,"28900 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն","13.02.2025 Գերմանիա, Մաքսազերծված չ"
€ 90 700,2019  Chevrolet Equinox,"72575 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","25.02.2025 ԱՄՆ, Աճուրդում"
$ 3 600,2019  Mitsubishi Outlander,"66772 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն","15.03.2025 ԱՄՆ, Աճուրդում"
