Price,Year,Make,Model,Mileage,Body style,Engine,Gearbox,Hand drive,Color,Custom cleared
5500,2019.0,Toyota,Corolla,140580.67702,Սեդան,Բենզին,0,1,Արծաթագույն,2
4500,2020.0,Toyota,Rav 4,78659.71118,Ամենագնաց,Բենզին,0,1,Սև,2
10000,2020.0,Ford,Fusion,109468.91614,Սեդան,Բենզին,0,1,Սպիտակ,2
7500,2018.0,Mazda,CX5,98935.78584,Ամենագնաց,Բենզին,0,1,Սև,2
5700,2018.0,Mazda,CX5,77460.75288,Ամենագնաց,Բենզին,0,1,Սպիտակ,2
5500,2018.0,Dodge,Journey,76746.20592,Ամենագնաց,Բենզին,0,1,Սպիտակ,2
2100,2021.0,Lexus,RX 350,51772.4678,Ամենագնաց,Բենզին,0,1,Մոխրագույն,2
5500,2018.0,Toyota,Camry,142165.87692,Սեդան,Բենզին,0,1,Արծաթագույն,2
1500,2019.0,Hyundai,Tucson,93256.42498,Ամենագնաց,Բենզին,0,1,Սև,2
4500,2022.0,BMW,X3,34032.71298,Ամենագնաց,Բենզին,0,1,Կապույտ,2
20500,2021.0,Porsche,Cayenne,16.0934,Ամենագնաց,Բենզին,0,1,Սև,2
27500,2020.0,Kia,Sportage,60353.46868,Ամենագնաց,Բենզին,0,1,Մոխրագույն,2
3000,2018.0,Dodge,Challenger,102804.6392,Սեդան,Բենզին,0,1,Մոխրագույն,2
4500,2018.0,Nissan,Murano,90958.28746,Ամենագնաց,Բենզին,0,1,Սպիտակ,2
6000,2020.0,Ford,Escape,74509.22332,Ամենագնաց,Բենզին,0,1,Երկնագույն,2
3200,2021.0,Jeep,Cherokee,103823.35142,Ամենագնաց,Բենզին,0,1,Մոխրագույն,2
5000,2021.0,Jeep,Cherokee,50687.77264,Ամենագնաց,Բենզին,0,1,Սպիտակ,2
11500,2020.0,Lexus,ES 350,137545.46178,Սեդան,Բենզին,0,1,Սև,2
10300,2021.0,BMW,X5,52826.5855,Ամենագնաց,Բենզին,0,1,Սև,2
26600,2021.0,BMW,X5,79169.87196,Ամենագնաց,Բենզին,0,1,Սպիտակ,2
6500,2024.0,Mercedes-Benz,C 300,1968.22282,Սեդան,Բենզին,0,1,Սև,2
23500,2018.0,Mazda,6,145025.6741,Ամենագնաց,Բենզին,0,1,Սև,2
2900,2021.0,Toyota,Rav 4,29779.22736,Ամենագնաց,Բենզին,0,1,Սև,2
12000,2019.0,Nissan,Rogue,137632.36614,Ամենագնաց,Բենզին,0,1,Կարմիր,2
3700,2024.0,BMW,X6,58512.38372,Ամենագնաց,Բենզին,0,1,Սև,1
83000,2021.0,Toyota,Rav 4,51793.38922,Ամենագնաց,Բենզին,0,1,Սպիտակ,2
11600,2022.0,Mazda,CX 30,35123.8455,Ամենագնաց,Բենզին,0,1,Մոխրագույն,2
8000,2021.0,Subaru,Legacy,49950.69492,Սեդան,Բենզին,0,1,Սպիտակ,2
4800,2022.0,BMW,318,2253.0,Սեդան,Բենզին,0,1,Սև,2
2100,2019.0,Ford,Fiesta,155301.31,Սեդան,Բենզին,0,1,Սև,2
1400,2019.0,Ford,Fiesta,66552.64636,Սեդան,Բենզին,0,1,Արծաթագույն,2
1500,2019.0,Kia,Sorento,134445.87294,Ամենագնաց,Բենզին,0,1,Սպիտակ,2
4600,2021.0,Tesla,Model Y,110545.5646,Ամենագնաց, Էլեկտրական,0,1,Մոխրագույն,2
13300,2022.0,Toyota,Corolla,43906.01388,Սեդան,Բենզին,0,1,Սև,2
4300,2020.0,Toyota,Corolla,141206.71028,Սեդան,Բենզին,0,1,Սև,2
6600,2018.0,Dodge,Journey,132810.7835,Ամենագնաց,Բենզին,0,1,Սև,2
2100,2018.0,Dodge,Journey,133403.02062,Ամենագնաց,Բենզին,0,1,Սև,2
8000,2018.0,Hyundai,Kona,72946.55418,Ամենագնաց,Բենզին,0,1,Երկնագույն,2
3500,2008.0,BMW,X6,240000.0,Ունիվերսալ,Բենզին,0,1,Սպիտակ,1
7000,2024.0,Mercedes-Benz,C 300,11349.06568,Սեդան,Բենզին,0,1,Սպիտակ,2
24000,2020.0,Toyota,Corolla,123829.05696,Սեդան,Բենզին,0,1,Մոխրագույն,2
5300,2020.0,Subaru,Forester,121271.8157,Ամենագնաց,Բենզին,0,1,Մոխրագույն,2
4500,2021.0,Mazda,CX 30,74069.8735,Ամենագնաց,Բենզին,0,1,Սև,2
7000,2022.0,Porsche,Macan,43410.33716,Ամենագնաց,Բենզին,0,1,Սև,2
25000,2021.0,Porsche,Macan,16.0934,Ամենագնաց,Բենզին,0,1,Մոխրագույն,2
3700,2022.0,Chevrolet,Malibu,110645.34368,Սեդան,Բենզին,0,1,Մոխրագույն,2
3900,2021.0,Mazda,CX 30,73416.48146,Ամենագնաց,Բենզին,0,1,Կապույտ,2
6500,2022.0,Mazda,CX 30,74734.53092,Ամենագնաց,Բենզին,0,1,Սպիտակ,2
